Classes		
*******
Account		
Activity		
Attendance		
Camp		
CampAdministrator		
CampCounselor		
Camper		
Child		
Counselor		
CampFacility		
CampGroup		
CampWorker		
CompletionReport		
ConsentForm		
Database		
EmergencyInformation		
Event		
EventCalendar		
Feedback		
Form		
GeneralConcern		
Manager		
MedicalForm		
NameTag		
Parent		
ParentInformation		
Payment		
Photo		
Position		
RegistrationForm		
Reminder		
Repair		
Rule		
Schedule		
StaffMember		
Supply		
Task		

Relationships	
*************	
Subject	Predicate	Object
*********************************
CampAdministrator	adds	Camper
CampAdministrator	removes	Camper
CampAdministrator	deletes	Camper
CampAdministrator	modifies	Camper
CampAdministrator	adds	Parent
CampAdministrator	deletes	Parent
CampAdministrator	modifies	Parent
CampAdministrator	creates	Group
CampAdministrator	adds	CamperToGroup
CampAdministrator	schedules	Activity
CampAdministrator	schedules	Task
CampAdministrator	deletes	Task
CampAdministrator	modifies	Task
CampAdministrator	creates	NameTag
CampAdministrator	makes	NameTag
CampAdministrator	suspends	Camper
CampAdministrator	sets	Reminder
CampAdministrator	assigns	Position
CampAdministrator	assigns	PositionToStaffMember
CampAdministrator	warns	CampWorker
CampAdministrator	creates	Rule
CampAdministrator	modifies	Rule
CampAdministrator	tracks	CampFacility
CampAdministrator	creates	Avenue
CampAdministrator	stores	EmergencyInformation
CampAdministrator	stores	ParentInformation
CampAdministrator	uploads	ConsentForm
CampAdministrator	tracks	ConsentForm
CampAdministrator	logs	Attendance
CampAdministrator	sees	MedicalForm
CampAdministrator	notifies	Parent
CampAdministrator	notifies	Counselor
CampAdministrator	provides	Feedback
CampAdministrator	creates	RegistrationForm
CampAdministrator	keeps	Information

Parent	creates	Account
Parent	submits	Form
Parent	submits	ConsentForm
Parent	signs	ConsentForm
Parent	messages	Counselor
Parent	connects	StaffMember
Parent	enrolls	Child
Parent	sees	Payment
Parent	sees	Schedule
Parent	tracks	Activity
Parent	tracks	Schedule
Parent	shares	Photo

CampWorker	sees	Camper
CampWorker	reports	Camper
CampWorker	reports	Repair
CampWorker	reports	Supply
CampWorker	submits	CompletionReport
CampWorker	follows	Rule

CampCounselor	takes	Attendance
CampCounselor	takes	AttendanceOfChild

Camper	attends	Camp
Camper	submits	ConsentForm
Camper	follows	Rule
Camper	accesses	ConsentForm

Child	joins	Camp
Child	participates	Activity
