Dataset,Method,Class Precision,Class Recall,Class F1,Rel Precision,Rel Recall,Rel F1
domain_model_comparison_CP.xlsx,Single Prompt,0.815,0.564,0.667,0.977,0.365,0.532
domain_model_comparison_CP.xlsx,Multi Step,0.793,0.59,0.676,1.0,0.33,0.497
domain_model_comparison_CP.xlsx,No Few Shot,0.71,0.564,0.629,0.958,0.4,0.564
domain_model_comparison_CP.xlsx,DMP,0.778,0.538,0.636,0.981,0.461,0.627
domain_model_comparison_RMS.xlsx,Single Prompt,0.789,0.469,0.588,0.737,0.28,0.406
domain_model_comparison_RMS.xlsx,Multi Step,0.76,0.594,0.667,0.854,0.7,0.769
domain_model_comparison_RMS.xlsx,No Few Shot,0.75,0.656,0.7,0.683,0.56,0.615
domain_model_comparison_RMS.xlsx,DMP,0.893,0.781,0.833,1.0,0.9,0.947
domain_model_comparison_OPS.xlsx,Single Prompt,0.905,0.514,0.655,0.941,0.582,0.719
domain_model_comparison_OPS.xlsx,Multi Step,0.882,0.811,0.845,0.825,0.6,0.695
domain_model_comparison_OPS.xlsx,No Few Shot,0.882,0.811,0.845,0.881,0.673,0.763
domain_model_comparison_OPS.xlsx,DMP,0.818,0.73,0.771,0.895,0.618,0.731
